,Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9,Band10,Band11,Band12,Band13,Band14,Band15,Band16,Band17,Band18,Band19,Band20,Band21,Band22,Band23,Band24,Band25,Band26,Band27,Band28,Band29,Band30,Band31,Band32,Band33,Band34,Band35,Band36,Band37,Band38,Band39,Band40,Band41,Band42,Band43,Band44,Band45,Band46,Band47,Band48,Band49,Band50,Band51,Band52,Band53,Band54,Band55,Band56,Band57,Band58,Band59,Band60,Type
198,0.024,0.032,0.042,0.04,0.079,0.077,0.08800000000000001,0.114,0.159,0.205,0.265,0.31,0.23800000000000002,0.192,0.14300000000000002,0.174,0.17800000000000002,0.285,0.504,0.617,0.762,0.812,0.779,0.879,0.8809999999999999,0.9470000000000001,1.0,0.9740000000000001,0.845,0.615,0.43,0.316,0.287,0.20199999999999999,0.121,0.027000000000000003,0.057999999999999996,0.126,0.107,0.10800000000000001,0.036000000000000004,0.12,0.20600000000000002,0.205,0.188,0.205,0.172,0.107,0.048,0.017,0.019,0.01,0.007,0.008,0.004,0.003,0.003,0.001,0.004,0.006,M
195,0.013000000000000001,0.013999999999999999,0.031,0.038,0.077,0.079,0.066,0.111,0.17800000000000002,0.22399999999999998,0.243,0.313,0.321,0.292,0.225,0.235,0.214,0.294,0.49,0.613,0.753,0.772,0.743,0.867,0.9309999999999999,0.9840000000000001,1.0,0.96,0.872,0.6859999999999999,0.49,0.32799999999999996,0.312,0.19699999999999998,0.102,0.032,0.076,0.091,0.107,0.138,0.066,0.14800000000000002,0.247,0.27899999999999997,0.271,0.228,0.182,0.11800000000000001,0.055,0.022000000000000002,0.02,0.012,0.009,0.007,0.002,0.003,0.005,0.002,0.002,0.003,M
161,0.03,0.036000000000000004,0.021,0.023,0.046,0.066,0.094,0.09699999999999999,0.254,0.313,0.21899999999999997,0.262,0.242,0.218,0.11599999999999999,0.124,0.08900000000000001,0.17600000000000002,0.17600000000000002,0.154,0.051,0.18,0.40399999999999997,0.57,0.6579999999999999,0.747,0.8540000000000001,0.9079999999999999,0.867,0.889,0.9059999999999999,0.852,0.72,0.62,0.625,0.685,0.7340000000000001,0.628,0.5720000000000001,0.612,0.56,0.496,0.503,0.5770000000000001,0.591,0.48,0.38799999999999996,0.278,0.14300000000000002,0.042,0.027000000000000003,0.02,0.007,0.007,0.009,0.009,0.007,0.004,0.006,0.002,M
187,0.037000000000000005,0.027999999999999997,0.01,0.057,0.076,0.068,0.09699999999999999,0.147,0.21600000000000003,0.254,0.294,0.294,0.266,0.319,0.27899999999999997,0.253,0.198,0.193,0.28300000000000003,0.324,0.35,0.332,0.42200000000000004,0.47700000000000004,0.48100000000000004,0.632,0.833,0.946,1.0,0.8420000000000001,0.552,0.48,0.52,0.397,0.19399999999999998,0.152,0.201,0.174,0.10300000000000001,0.22399999999999998,0.37200000000000005,0.445,0.39399999999999996,0.203,0.201,0.21899999999999997,0.184,0.14800000000000002,0.09699999999999999,0.022000000000000002,0.015,0.01,0.002,0.002,0.006,0.009,0.001,0.009,0.011000000000000001,0.005,M
109,0.026000000000000002,0.007,0.034,0.079,0.10400000000000001,0.078,0.142,0.11800000000000001,0.045,0.094,0.113,0.084,0.07200000000000001,0.19699999999999998,0.263,0.419,0.505,0.6709999999999999,0.792,0.838,0.8759999999999999,0.9420000000000001,1.0,0.993,0.958,0.865,0.722,0.58,0.496,0.489,0.408,0.244,0.177,0.247,0.35200000000000004,0.376,0.29100000000000004,0.231,0.317,0.355,0.374,0.444,0.326,0.196,0.086,0.16899999999999998,0.19899999999999998,0.122,0.063,0.032,0.025,0.021,0.026000000000000002,0.018000000000000002,0.004,0.007,0.012,0.008,0.008,0.007,M
171,0.018000000000000002,0.013999999999999999,0.040999999999999995,0.063,0.06,0.081,0.209,0.34600000000000003,0.528,0.596,0.625,0.451,0.369,0.28600000000000003,0.16399999999999998,0.042,0.17800000000000002,0.439,0.695,0.81,0.855,0.872,0.86,0.92,0.873,0.8079999999999999,0.8690000000000001,0.841,0.579,0.375,0.348,0.46399999999999997,0.65,0.69,0.5670000000000001,0.519,0.506,0.38799999999999996,0.376,0.374,0.26,0.159,0.188,0.22699999999999998,0.158,0.121,0.08800000000000001,0.085,0.036000000000000004,0.022000000000000002,0.009,0.012,0.006,0.019,0.011000000000000001,0.013000000000000001,0.008,0.016,0.016,0.008,M
1,0.045,0.052000000000000005,0.084,0.069,0.11800000000000001,0.258,0.21600000000000003,0.348,0.33399999999999996,0.287,0.49200000000000005,0.655,0.6920000000000001,0.78,0.746,0.9440000000000001,1.0,0.887,0.802,0.782,0.521,0.405,0.396,0.391,0.325,0.32,0.327,0.27699999999999997,0.442,0.203,0.379,0.295,0.198,0.23399999999999999,0.131,0.418,0.384,0.106,0.184,0.19699999999999998,0.16699999999999998,0.057999999999999996,0.14,0.163,0.062,0.02,0.053,0.07400000000000001,0.040999999999999995,0.006,0.012,0.008,0.009,0.005,0.009,0.019,0.013999999999999999,0.005,0.005,0.004,R
205,0.052000000000000005,0.044000000000000004,0.018000000000000002,0.028999999999999998,0.035,0.11699999999999999,0.126,0.11800000000000001,0.126,0.253,0.272,0.237,0.188,0.098,0.068,0.15,0.172,0.23399999999999999,0.196,0.14,0.316,0.589,0.763,0.847,0.9420000000000001,0.9990000000000001,0.97,1.0,0.863,0.698,0.772,0.73,0.52,0.179,0.11,0.145,0.107,0.14400000000000002,0.193,0.032,0.149,0.033,0.054000000000000006,0.131,0.091,0.076,0.106,0.1,0.054000000000000006,0.024,0.016,0.016,0.003,0.005,0.006,0.009,0.013999999999999999,0.013999999999999999,0.008,0.003,M
55,0.02,0.012,0.012,0.024,0.055,0.021,0.08900000000000001,0.084,0.134,0.12,0.174,0.139,0.204,0.258,0.262,0.21,0.253,0.321,0.433,0.47600000000000003,0.5329999999999999,0.606,0.67,0.748,0.893,0.94,1.0,0.978,0.847,0.764,0.67,0.499,0.37200000000000005,0.22,0.142,0.268,0.263,0.31,0.33899999999999997,0.212,0.11699999999999999,0.266,0.22,0.154,0.146,0.10400000000000001,0.122,0.07400000000000001,0.049,0.022000000000000002,0.003,0.008,0.004,0.006,0.008,0.004,0.004,0.003,0.001,0.002,R
81,0.01,0.019,0.016,0.049,0.084,0.10099999999999999,0.163,0.207,0.27,0.299,0.324,0.35600000000000004,0.395,0.52,0.695,0.847,1.0,0.9279999999999999,0.851,0.8009999999999999,0.8140000000000001,0.882,0.73,0.611,0.716,0.846,0.632,0.48100000000000004,0.629,0.715,0.6,0.424,0.41100000000000003,0.39899999999999997,0.17300000000000001,0.198,0.237,0.134,0.158,0.315,0.19699999999999998,0.205,0.127,0.113,0.195,0.22,0.193,0.15,0.077,0.02,0.012,0.013000000000000001,0.007,0.008,0.008,0.006,0.008,0.002,0.005,0.002,R
0,0.02,0.037000000000000005,0.043,0.021,0.095,0.099,0.154,0.16,0.311,0.21100000000000002,0.161,0.158,0.22399999999999998,0.064,0.066,0.22699999999999998,0.31,0.3,0.508,0.48,0.578,0.507,0.433,0.555,0.6709999999999999,0.642,0.71,0.8079999999999999,0.679,0.386,0.131,0.26,0.512,0.755,0.8540000000000001,0.851,0.669,0.61,0.494,0.27399999999999997,0.051,0.28300000000000003,0.282,0.426,0.264,0.139,0.105,0.134,0.038,0.032,0.023,0.003,0.006,0.016,0.007,0.017,0.018000000000000002,0.008,0.009,0.003,R
121,0.016,0.004,0.024,0.044000000000000004,0.063,0.092,0.13699999999999998,0.10800000000000001,0.155,0.17800000000000002,0.21600000000000003,0.257,0.309,0.38299999999999995,0.439,0.534,0.6,0.6729999999999999,0.731,0.809,0.894,0.9670000000000001,1.0,0.9890000000000001,0.938,0.899,0.9179999999999999,0.9129999999999999,0.7809999999999999,0.602,0.376,0.33,0.228,0.021,0.11199999999999999,0.179,0.237,0.284,0.22399999999999998,0.272,0.336,0.255,0.187,0.21600000000000003,0.128,0.077,0.107,0.095,0.064,0.023,0.013000000000000001,0.017,0.013999999999999999,0.011000000000000001,0.006,0.016,0.009,0.004,0.005,0.003,M
60,0.013000000000000001,0.001,0.009,0.046,0.052000000000000005,0.078,0.09300000000000001,0.094,0.171,0.14800000000000002,0.153,0.11,0.08900000000000001,0.124,0.12,0.114,0.214,0.284,0.364,0.5429999999999999,0.667,0.7979999999999999,0.927,0.903,0.919,1.0,0.982,0.909,0.818,0.696,0.59,0.545,0.514,0.539,0.5529999999999999,0.532,0.483,0.379,0.183,0.175,0.168,0.067,0.061,0.038,0.053,0.027999999999999997,0.018000000000000002,0.011000000000000001,0.007,0.012,0.009,0.008,0.004,0.001,0.001,0.004,0.004,0.002,0.002,0.002,R
63,0.007,0.01,0.002,0.006,0.02,0.062,0.043,0.095,0.084,0.11800000000000001,0.098,0.091,0.066,0.059000000000000004,0.083,0.13,0.204,0.381,0.445,0.522,0.591,0.657,0.631,0.6,0.496,0.565,0.691,0.851,1.0,0.917,0.768,0.618,0.547,0.552,0.546,0.552,0.456,0.34700000000000003,0.33799999999999997,0.285,0.25,0.16399999999999998,0.16,0.149,0.133,0.069,0.06,0.055999999999999994,0.031,0.015,0.003,0.005,0.002,0.002,0.004,0.002,0.003,0.003,0.005,0.003,R
